Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Event Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo,TeamEvent,SetupTime,RoundTime,JudgingTime,EventKindId,HasToBeConsecutive,CompetitorsPerRound,NeedsSchedule
109,Exhibits,Table Tennis - Singles (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
110,Exhibits,Table Tennis - Doubles (Male) U14,Nil,No,No,No,No,0,1,M,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
111,Exhibits,Football Kick (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
112,Exhibits,Soccer Kick (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
113,Exhibits,Netball Shoot (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
130,Physical Education,100m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
131,Physical Education,200m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
132,Physical Education,400m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
133,Physical Education,800m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
134,Physical Education,1500m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
135,Physical Education,4 x 100m Relay (Male) U17,Nil,No,No,No,No,0,3,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
136,Physical Education,Long Jump (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
137,Physical Education,Shot Put (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
138,Physical Education,Discus (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
139,Exhibits,Table Tennis - Singles (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
140,Exhibits,Table Tennis - Doubles (Male) U17,Nil,No,No,No,No,0,3,M,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
141,Exhibits,Football Kick (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
142,Exhibits,Soccer Kick (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
143,Exhibits,Netball Shoot (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
160,Physical Education,100m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
161,Physical Education,200m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
162,Physical Education,400m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
163,Physical Education,800m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
164,Physical Education,1500m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
165,Physical Education,4 x 100m Relay (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
166,Physical Education,Long Jump (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
167,Physical Education,Shot Put (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
168,Physical Education,Discus (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
169,Exhibits,Table Tennis - Singles (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
170,Exhibits,Table Tennis - Doubles (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
171,Exhibits,Football Kick (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
172,Exhibits,Soccer Kick (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
173,Exhibits,Netball Shoot (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
174,Exhibits,Basketball (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,5,10,TRUE,1,20,0,Elimination,FALSE,0,1
175,Exhibits,Tennis - singles (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,6,4,Elimination,FALSE,0,1
176,Exhibits,Futsal (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,5,10,TRUE,1,20,0,Elimination,FALSE,0,1
177,Exhibits,Volleyball (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,6,10,FALSE,1,20,0,Elimination,FALSE,0,1
180,Physical Education - Athletics,100m (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
181,Physical Education - Athletics,200m (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
182,Physical Education - Athletics,400m (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
183,Physical Education - Athletics,4 x 100m Relay (Female) U11,Nil,No,No,No,No,0,5,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
184,Physical Education - Sports,Football Kick (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
185,Physical Education - Sports,Soccer Kick (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
186,Physical Education - Sports,Netball Shoot (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
200,Physical Education,100m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
201,Physical Education,200m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
202,Physical Education,400m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
203,Physical Education,800m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
204,Physical Education,1500m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
205,Physical Education,4 x 100m Relay (Female) U14,Nil,No,No,No,No,0,1,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
206,Physical Education,Long Jump (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
209,Exhibits,Table Tennis - Singles (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
210,Exhibits,Table Tennis - Doubles (Female) U14,Nil,No,No,No,No,0,1,F,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
